IDP;NOMBRE;DESCRIPCION;PRECIO
1;ACEITES, CANUELAS;ACEITE DE GIRASOL ALTO OLEICO CANUELAS PET X 1 LT;35
2;ACEITES, CANUELAS;ACEITE GIRASOL CANUELAS PET X 900 CC.;27
3;ADEREZOS, LA PARMESANA;MEZCLA DE SEMILLAS LA PARMESANA X 100 GRS;22.99
4;ADEREZOS, LA PARMESANA;SEMILLAS DE CHIA LA PARMESANA X 100 GRS;15.3
5;ADEREZOS, LA PARMESANA;SEMILLAS DE QUINOA LA PARMESANA X 100 GRS;57.25
6;ARROZ, DOS HERMANOS;ARROZ INTEGRAL DOS HERMANOS X 1 KG;17.98
7;ARROZ, MOLINOS ALA;ARROZ LARGO FINO 00000 MOLINOS ALA BOLSA X 500 GRS;9.4
8;CONDIMENTOS, LA PARMESANA;OREGANO LA PARMESANA SOBRE X 25 GRS;19.99
9;CONSERVAS, ARCOR;ARVEJAS SECAS REMOJADAS ARCOR LATA X 300 GRS;11.12
10;CONSERVAS, MARECHIARE;ATUN AL NATURAL MARECHIARE LATA X 170 GRS;39.5
11;CONSERVAS, PENNISI;ATUN AL NATURAL PENNISI X 170 GRS;39.5
12;CONSERVAS, MARECHIARE;ATUN EN ACEITE MARECHIARE LATA X 170 GRS;39.5
13;CONSERVAS, PENNISI;ATUN EN ACEITE PENNISI X 170 GRS;39.5
14;CONSERVAS, MARECHIARE;CABALLA AL NATURAL MARECHIARE LATA X 380 GRS;35.5
15;CONSERVAS, PENNISI;CABALLA AL NATURAL PENNISI X 380 GRS;35.5
16;CONSERVAS, MARECHIARE;CABALLA EN ACEITE MARECHIARE LATA X 380 GRS;37
17;CONSERVAS, PENNISI;CABALLA EN ACEITE PENNISI X 380 GRS;37
18;CONSERVAS, ARCOR;CHOCLO EN GRANOS AMARILLO ARCOR LATA X 300 GRS;17.6
19;CONSERVAS, INALPA;LENTEJAS SECAS REMOJADAS INALPA LATA X 350 GRS;16.99
20;CONSERVAS, MARECHIARE;MERLUZA EN ACEITE MARECHIARE LATA X 380 GRS;28
21;CONSERVAS, PENNISI;MERLUZA EN ACEITE PENNISI LATA X 380 GRS;29.5
22;CONSERVAS, LA PARMESANA;SALSA PESTO DESHIDRATADA LA PARMESANA X 20 GRS;23
