ID;IDS;IDP;CANT
1;1;1;13
2;1;2;13
3;1;3;19
4;1;4;10
5;1;5;5
6;1;6;16
7;1;7;16
8;1;8;1
9;1;9;5
10;1;10;16
11;1;11;15
12;1;12;0
13;1;13;19
14;1;14;5
15;1;15;14
16;1;16;1
17;1;17;9
18;1;18;1
19;1;19;6
20;1;20;9
21;1;21;18
22;1;22;6
23;1;23;10
24;1;24;9
25;1;25;12
26;1;26;15
27;1;27;6
28;1;28;6
29;1;29;18
30;1;30;8
31;1;31;12
32;1;32;3
33;1;33;9
34;1;34;5
35;1;35;14
36;1;36;9
37;1;37;19
38;1;38;18
39;1;39;5
40;1;40;17
41;1;41;15
42;1;42;18
43;1;43;17
44;1;44;18
45;1;45;16
46;1;46;18
47;1;47;15
48;1;48;6
49;1;49;13
50;1;50;4
51;1;51;1
52;1;52;11
53;1;53;6
54;1;54;15
55;1;55;10
56;1;56;6
57;1;57;15
58;1;58;16
59;1;59;1
60;1;60;15
61;1;61;20
62;1;62;7
63;1;63;8
64;1;64;8
65;1;65;11
66;1;66;4
67;1;67;1
68;1;68;6
69;1;69;0
70;1;70;13
71;1;71;7
72;1;72;3
73;1;73;8
74;1;74;8
75;1;75;20
76;1;76;14
77;1;77;9
78;1;78;4
79;1;79;10
80;1;80;11
81;1;81;0
82;1;82;20
83;1;83;17
84;1;84;20
85;1;85;2
86;1;86;12
87;1;87;19
88;1;88;14
89;1;89;1
90;1;90;8
91;1;91;18
92;1;92;14
93;1;93;12
94;1;94;3
95;1;95;5
96;1;96;19
97;1;97;8
98;1;98;3
99;1;99;19
100;1;100;4
101;1;101;6
102;1;102;7
103;1;103;2
104;1;104;3
105;1;105;13
106;1;106;20
107;1;107;5
108;1;108;16
109;1;109;1
110;1;110;13
111;1;111;16
112;1;112;7
113;1;113;8
114;1;114;18
115;1;115;6
116;1;116;5
117;1;117;8
118;1;118;0
119;1;119;19
120;1;120;13
121;1;121;17
122;1;122;12
123;1;123;14
124;1;124;10
125;1;125;8
126;1;126;4
127;1;127;0
128;1;128;4
129;1;129;5
130;1;130;7
131;1;131;8
132;1;132;4
133;1;133;4
134;1;134;8
135;1;135;17
136;1;136;19
137;1;137;14
138;1;138;7
139;1;139;4
140;1;140;16
141;1;141;0
142;1;142;13
143;1;143;13
144;1;144;14
145;1;145;19
146;1;146;7
147;1;147;1
148;1;148;5
149;1;149;3
150;1;150;7
151;1;151;7
152;1;152;19
153;1;153;20
154;1;154;8
155;1;155;17
156;1;156;5
157;1;157;19
158;1;158;6
159;1;159;0
160;1;160;5
161;1;161;9
162;1;162;0
163;1;163;11
164;1;164;12
165;1;165;5
166;1;166;1
167;1;167;15
168;1;168;0
169;1;169;7
170;1;170;5
171;1;171;15
172;1;172;19
173;1;173;13
174;1;174;7
175;1;175;4
176;1;176;11
177;1;177;5
178;1;178;3
179;1;179;16
180;1;180;11
181;1;181;17
182;1;182;2
183;1;183;13
184;1;184;13
185;1;185;4
186;1;186;1
187;1;187;8
188;1;188;9
189;1;189;9
190;1;190;6
191;1;191;13
192;1;192;3
193;1;193;12
194;1;194;13
195;1;195;5
196;1;196;3
197;1;197;11
198;1;198;17
199;1;199;4
200;1;200;11
201;1;201;3
202;1;202;16
203;1;203;9
204;1;204;13
205;1;205;14
206;1;206;17
207;1;207;5
208;1;208;6
209;1;209;4
210;1;210;18
211;1;211;14
212;1;212;6
213;1;213;9
214;1;214;8
215;1;215;6
216;1;216;10
217;1;217;10
218;1;218;3
219;1;219;18
220;1;220;12
221;1;221;19
222;1;222;8
223;1;223;5
224;1;224;11
225;1;225;20
226;1;226;6
227;1;227;13
228;1;228;7
229;1;229;12
230;1;230;17
231;1;231;18
232;1;232;6
233;1;233;16
234;1;234;2
235;1;235;6
236;1;236;6
237;1;237;5
238;1;238;3
239;1;239;12
240;1;240;4
241;1;241;0
242;1;242;9
243;1;243;4
244;1;244;13
245;1;245;9
246;1;246;13
247;1;247;3
248;1;248;10
249;1;249;18
250;1;250;6
251;1;251;1
252;1;252;9
253;1;253;17
254;1;254;6
255;1;255;3
256;1;256;19
257;1;257;11
258;1;258;6
259;1;259;19
260;1;260;8
261;1;261;12
262;1;262;2
263;1;263;16
264;1;264;4
265;1;265;4
266;1;266;15
267;1;267;16
268;1;268;1
269;1;269;2
270;1;270;8
271;1;271;11
272;1;272;17
273;1;273;4
274;1;274;19
